id,name,username,email,phone,city,zipcode,lat,lng,company,postCount
"1","Leanne Graham","bret","sincere@april.biz","1-770-736-8031","Gwenborough","92998-3874","-37.3159","81.1496","Romaguera-Crona","10"
"2","Ervin Howell","antonette","shanna@melissa.tv","010-692-6593","Wisokyburgh","90566-7771","-43.9509","-34.4618","Deckow-Crist","10"
"3","Clementine Bauch","samantha","nathan@yesenia.net","1-463-123-4447","McKenziehaven","59590-4157","-68.6102","-47.0653","Romaguera-Jacobson","10"
"4","Patricia Lebsack","karianne","julianne.oconner@kory.org","493-170-9623","South Elvis","53919-4257","29.4572","-164.299","Robel-Corkery","10"
"5","Chelsey Dietrich","kamren","lucio_hettinger@annie.ca","(254)954-1289","Roscoeview","33263","-31.8129","62.5342","Keebler LLC","10"
"6","Mrs. Dennis Schulist","leopoldo_corkery","karley_dach@jasper.info","1-477-935-8478","South Christy","23505-1337","-71.4197","71.7478","Considine-Lockman","10"
"7","Kurtis Weissnat","elwyn.skiles","telly.hoeger@billy.biz","210.067.6132","Howemouth","58804-1099","24.8918","21.8984","Johns Group","10"
"8","Nicholas Runolfsdottir V","maxime_nienow","sherwood@rosamond.me","586.493.6943","Aliyaview","45169","-14.399","-120.7677","Abernathy Group","10"
"9","Glenna Reichert","delphine","chaim_mcdermott@dana.io","(775)976-6794","Bartholomebury","76495-3109","24.6463","-168.8889","Yost and Sons","10"
"10","Clementina DuBuque","moriah.stanton","rey.padberg@karina.biz","024-648-3804","Lebsackbury","31428-2261","-38.2386","57.2232","Hoeger LLC","10"
